Time,Air Breather On GO Station,Electrical Component,Replace MCCB1
2017-05-10,0.5,1.5,4.5
2017-05-10,3,5,4.5
2017-05-11,1,6.5,4
2017-05-11,0.5,5.5,4.5
2017-05-15,2,3.5,4
2017-05-16,1.5,1,4.5
2017-05-16,0.5,2,4
2017-05-17,0.5,1,2
2017-05-17,2,2,2.5
2017-05-17,1.5,1,2
2017-05-23,2,2.5,2
2017-05-23,1.5,1.5,1.5
2017-05-23,0.5,1,1.5
2017-05-24,1,1,2
2017-05-24,2,1.5,1.5
2017-05-25,2,2,2
2017-05-25,0.5,1,4
2017-05-26,0.5,5,4.5
2017-06-01,0.5,2.5,4
2017-06-02,8.5,2,4.5
2017-06-05,1.5,1,
2017-06-07,0.5,5,
2017-06-07,0.5,3.5,
2017-06-14,1,3,
2017-06-14,0.5,3.5,
2017-06-15,0.5,1,
2017-06-16,1.5,2,
2017-06-19,0.5,2,
2017-06-19,1.5,3.5,
2017-06-20,1.5,1,
2017-06-26,1.5,5,
2017-06-27,1.5,2,
2017-06-29,1.5,1.5,
2017-06-30,1,2,
2017-06-30,1.5,5,
2017-07-10,1,2.5,
2017-07-10,1.5,3.5,
2017-07-10,0.5,4,
2017-07-11,1.5,4,
2017-07-11,1,,
2017-07-12,1,,
2017-07-12,0.5,,
2017-07-12,1.5,,
2017-07-24,2,,
2017-07-24,1.5,,
2017-07-24,0.5,,
2017-07-25,0.5,,
2017-07-31,0.5,,
