group,score
Air Breather On GO Station,0.5
Air Breather On GO Station,3
Air Breather On GO Station,1
Air Breather On GO Station,0.5
Air Breather On GO Station,2
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Air Breather On GO Station,2
Air Breather On GO Station,1.5
Air Breather On GO Station,2
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,1
Air Breather On GO Station,2
Air Breather On GO Station,2
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Air Breather On GO Station,8.5
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Air Breather On GO Station,1
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1
Air Breather On GO Station,1.5
Air Breather On GO Station,1
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,1.5
Air Breather On GO Station,1
Air Breather On GO Station,1
Air Breather On GO Station,0.5
Air Breather On GO Station,1.5
Air Breather On GO Station,2
Air Breather On GO Station,1.5
Air Breather On GO Station,0.5
Air Breather On GO Station,0.5
Electrical Component,1.5
Electrical Component,5
Electrical Component,6.5
Electrical Component,5.5
Electrical Component,3.5
Electrical Component,1
Electrical Component,2
Electrical Component,1
Electrical Component,2
Electrical Component,1
Electrical Component,2.5
Electrical Component,1.5
Electrical Component,1
Electrical Component,1
Electrical Component,1.5
Electrical Component,2
Electrical Component,1
Electrical Component,5
Electrical Component,2.5
Electrical Component,2
Electrical Component,1
Electrical Component,5
Electrical Component,3.5
Electrical Component,3
Electrical Component,3.5
Electrical Component,1
Electrical Component,2
Electrical Component,2
Electrical Component,3.5
Electrical Component,1
Electrical Component,5
Electrical Component,2
Electrical Component,1.5
Electrical Component,2
Electrical Component,5
Electrical Component,2.5
Electrical Component,3.5
Electrical Component,4
Electrical Component,4
Replace MCCB1,4.5
Replace MCCB1,4.5
Replace MCCB1,4
Replace MCCB1,4.5
Replace MCCB1,4
Replace MCCB1,4.5
Replace MCCB1,4
Replace MCCB1,2
Replace MCCB1,2.5
Replace MCCB1,2
Replace MCCB1,2
Replace MCCB1,1.5
Replace MCCB1,1.5
Replace MCCB1,2
Replace MCCB1,1.5
Replace MCCB1,2
Replace MCCB1,4
Replace MCCB1,4.5
Replace MCCB1,4
Replace MCCB1,4.5
